Reaction ID	Reaction Name	Enzyme comission number	Ferredoxin oxidizing	UniProt ID	UniProt name	
MTHFC	Methenyltetrahydrofolate cyclohydrolase	3.5.4.9		P24186	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	
PPA	Inorganic diphosphatase	3.6.1.1		P0A7A9	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	
OADDC	Oxaloacetate decarboxylase	4.1.1.112		Q9HUU1	Oxaloacetate decarboxylase (EC 4.1.1.112)	
PPC	Phosphoenolpyruvate carboxylase	4.1.1.31		P00864	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	
PPCKc	Phosphoenolpyruvate carboxykinase (ATP)	4.1.1.49		P22259	Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)	
FBA	Fructose-bisphosphate aldolase	4.1.2.13		P0A991	Fructose-bisphosphate aldolase class 1 (EC 4.1.2.13) (Fructose-bisphosphate aldolase class I) (FBP aldolase)	
SBPA	"Sedoheptulose 1,7-bisphosphate aldolase"	4.1.2.13		P0AB71	"Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II) (Sedoheptulose bisphosphate aldolase)"	
PKETF	Phosphoketolase (fructose-6-phosphate utilizing)	4.1.2.22		Q9AEM9	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase (EC 4.1.2.22) (EC 4.1.2.9)	
DRPA	Deoxyribose-phosphate aldolase	4.1.2.4		P0A6L0	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	
TGBPA	Tagatose-bisphosphate aldolase	4.1.2.40		P0AB74	"D-tagatose-1,6-bisphosphate aldolase subunit KbaY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Ketose 1,6-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)"	
H6PS	3-hexulose-6-phosphate synthase	4.1.2.43		P42405	3-hexulose-6-phosphate synthase (HPS) (EC 4.1.2.43) (D-arabino-3-hexulose-6-phosphate formaldehyde lyase) (HUMPS)	
PKETX	Phosphoketolase (xylulose-5-phosphate utilizing)	4.1.2.9		Q9AEM9	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase (EC 4.1.2.22) (EC 4.1.2.9)	
ICL	Isocitrate lyase	4.1.3.1		P0A9G6	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)	
ENO	Enolase	4.2.1.11		P0A6P9	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	
4HBCOADH	4-hydroxybutanoyl-CoA dehydratase	4.2.1.120		P55792	4-hydroxybutyryl-CoA dehydratase/vinylacetyl-CoA-Delta-isomerase (4-BUDH) (EC 4.2.1.120) (EC 5.3.3.3) (Gamma-aminobutyrate metabolism dehydratase/isomerase)	
VECOAH2	3-hydroxyacyl-CoA dehydratase (3-hydroxyheptanoyl-CoA)	4.2.1.134 or 4.2.1.55		A0A6N7J249	Enoyl-CoA hydratase/isomerase family protein	
ECOAH2	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	4.2.1.17		A0A6N7J249	Enoyl-CoA hydratase/isomerase family protein	
ECOAH3	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	4.2.1.17		A0A6N7J249	Enoyl-CoA hydratase/isomerase family protein	
FUM	Fumarase	4.2.1.2		P0AC33	"Fumarate hydratase class I, aerobic (EC 4.2.1.2) (Fumarase A) (Oxaloacetate keto--enol-isomerase) (OAAKE isomerase) (Oxaloacetate tautomerase) (EC 5.3.2.2)"	
ACONT	Aconitate hydratase	4.2.1.3		P25516	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)	
LCD	Lactoyl CoA dehydratase	4.2.1.54		G3KIM3	Lactoyl-CoA dehydratase subunit beta (EC 4.2.1.54) ((R)-lactyl-CoA dehydratase component E II) (2-hydroxybutyroyl-CoA dehydratase)	
LCD	Lactoyl CoA dehydratase	4.2.1.54		G3KIM4	Lactoyl-CoA dehydratase subunit alpha (EC 4.2.1.54) ((R)-lactyl-CoA dehydratase component E II) (2-hydroxybutyroyl-CoA dehydratase)	
ECOAH1	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	4.2.1.55		A0A6N7J249	Enoyl-CoA hydratase/isomerase family protein	
VECOAH	3-hydroxyacyl-CoA dehydratase (3-hydroxypentanoyl-CoA)	4.2.1.55		A0A6N7J249	Enoyl-CoA hydratase/isomerase family protein	
MGSA	Methylglyoxal synthase	4.2.3.3		P0A731	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	
LGTHL	Lactoylglutathione lyase	4.4.1.5		P0AC81	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	
LacR	Lactate racemase	5.1.2.1		F9USS9	Lactate racemase (Lar) (EC 5.1.2.1) (Lactate racemization operon protein LarA)	
RPE	Ribulose 5-phosphate 3-epimerase	5.1.3.1		P0AG07	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)	
UDPG4E	UDPglucose 4-epimerase	5.1.3.2		P09147	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)	
GALM	Aldose 1-epimerase	5.1.3.3		P0A9C3	Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase) (Type-1 mutarotase)	
MME	Methylmalonyl-CoA epimerase	5.1.99.1		Q3IZP4	Ethylmalonyl-CoA/methylmalonyl-CoA epimerase (EC 5.1.99.-) (EC 5.1.99.1)	
TPI	Triose-phosphate isomerase	5.3.1.1		P0A858	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	
GAL6PI	Galactose-6-phosphate isomerase	5.3.1.26		P23494	Galactose-6-phosphate isomerase subunit LacA (EC 5.3.1.26)	
GAL6PI	Galactose-6-phosphate isomerase	5.3.1.26		P23495	Galactose-6-phosphate isomerase subunit LacB (EC 5.3.1.26)	
AH6PI	Arabino-3-hexulose-6-P Isomerase	5.3.1.27		P42404	3-hexulose-6-phosphate isomerase (EC 5.3.1.27) (6-phospho-3-hexuloisomerase) (PHI)	
XYLI1	Xylose isomerase	5.3.1.5		P00944	Xylose isomerase (EC 5.3.1.5) (D-xylulose keto-isomerase)	
RPI	Ribose-5-phosphate isomerase	5.3.1.6		P0A7Z0	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	
G6PI	Glucose 6 phosphate isomerase	5.1.3.15		Q8ZPV9	Putative glucose-6-phosphate 1-epimerase (EC 5.1.3.15) (Putative D-hexose-6-phosphate mutarotase)	
PGI	Glucose-6-phosphate isomerase	5.3.1.9		P0A6T1	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	
PGM	Phosphoglycerate mutase	5.4.2.11 or 5.4.2.12		P62707	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)"	
PGMT	Phosphoglucomutase	5.4.2.6		P77366	Beta-phosphoglucomutase (Beta-PGM) (EC 5.4.2.6)	
PPM	Phosphopentomutase	5.4.2.7�		P0A6K6	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	
MMM2	Methylmalonyl-CoA mutase	5.4.99.2		P27253	Methylmalonyl-CoA mutase (MCM) (EC 5.4.99.2)	
ACS	Acetyl-CoA synthetase	6.2.1.1		P27550	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	
SUCOASc	Succinate Coa ligase ADP forming	6.2.1.5		P0AGE9	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	
SUCOASc	Succinate Coa ligase ADP forming	6.2.1.5		P0A836	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	
FTHFLi	Formate-tetrahydrofolate ligase	6.3.4.3		P21164	Formate--tetrahydrofolate ligase (EC 6.3.4.3) (Formyltetrahydrofolate synthetase) (FHS) (FTHFS)	
PC	Pyruvate carboxylase	6.4.1.1		A0A0H3JRU9	Pyruvate carboxylase (EC 6.4.1.1)	
ACCOAC	Acetyl-CoA carboxylase	6.4.1.2		P0ABD5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	
ACCOAC	Acetyl-CoA carboxylase	6.4.1.2		P0A9Q5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	
PPCOAC	Propionyl-CoA carboxylase	6.4.1.3		Q5LUF3	Propionyl-CoA carboxylase alpha chain (EC 6.4.1.3)	
ATPS4r	*ATP Synthase	7.1.2.2		P0ABB0	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	
ATPS4r	*ATP Synthase	7.1.2.2		P0ABB4	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	
ATPS4r	*ATP Synthase	7.1.2.2		P0ABA6	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	
ATPS4r	*ATP Synthase	7.1.2.2		P0ABA4	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	
ATPS4r	*ATP Synthase	7.1.2.2		P0A6E6	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	
XYLabc	D-xylose transport via ABC system	7.5.2.10		P37388	Xylose import ATP-binding protein XylG (EC 7.5.2.10)	
XYLabc	D-xylose transport via ABC system	7.5.2.10		P0AGI4	Xylose transport system permease protein XylH	
XYLabc	D-xylose transport via ABC system	7.5.2.10		P37387	D-xylose-binding periplasmic protein	
HEX1	Hexokinase (D-glucose:ATP)	2.7.1.1		B8I0V5	Hexokinase	
LDH_L	L-lactate dehydrogenase	1.1.1.27		P00343	L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27)	
PGL	6-phosphogluconolactonase	3.1.1.31		P52697	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)	
EDD	6-phosphogluconate dehydratase	4.2.1.12		P0ADF6	Phosphogluconate dehydratase (EC 4.2.1.12) (6-phosphogluconate dehydratase) (Entner-Doudoroff dehydrase)	
EDA	2-dehydro-3-deoxy-phosphogluconate aldolase	4.1.2.14		P0A955	KHG/KDPG aldolase [Includes: 4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (2-keto-4-hydroxyglutarate aldolase) (KHG-aldolase); 2-dehydro-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14) (2-keto-3-deoxy-6-phosphogluconate aldolase) (KDPG-aldolase) (Phospho-2-dehydro-3-deoxygluconate aldolase) (Phospho-2-keto-3-deoxygluconate aldolase)]	
PYRDC	Pyruvate decarboxylase	4.1.1.1		Q8L388	Pyruvate decarboxylase (EC 4.1.1.1)	
LCTA	Lactate CoA transferase (acetyl-CoA)	2.8.3.1		G0VND6	Coenzyme A transferase	
G6PDH2c	Glucose 6-Phosphate Dehydrogenase	1.1.1.49 or 1.1.1.363		P11411	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.363) (Glucose-6-phosphate dehydrogenase (NAD(P)(+)))	
PEPCK_re	Phosphoenolpyruvate carboxykinase (GTP)	4.1.1.32		Q6F494	Phosphoenolpyruvate carboxykinase [GTP] (PEP carboxykinase) (PEPCK) (EC 4.1.1.32) (GTP-dependent phosphoenolpyruvate carboxykinase) (GTP-PEPCK) (PckTk)	
FRDx	Fumarate Reductase NADH	1.3.1.6 or 1.3.5.4	Yes	P17412	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)	
FRDx	Fumarate Reductase NADH	1.3.1.6 or 1.3.5.4	Yes	P17596	Fumarate reductase iron-sulfur subunit (EC 1.3.5.1) (Quinol-fumarate reductase iron-sulfur subunit) (QFR iron-sulfur subunit)	
FRDx	Fumarate Reductase NADH	1.3.1.6 or 1.3.5.4	Yes	P17413	Fumarate reductase cytochrome b subunit (Quinol-fumarate reductase cytochrome b subunit) (QFR cytochrome b subunit)	
NDPK1	Nucleoside-diphosphate kinase (ATP:GDP)	2.7.4.6		P0A763	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	
HYDABC	Electron confurcating hydrogenase	1.12.1.4	Yes	O52683	Fe-hydrogenase alpha subunit	
HYDABC	Electron confurcating hydrogenase	1.12.1.4	Yes	O52682	Fe-hydrogenase beta subunit	
HYDABC	Electron confurcating hydrogenase	1.12.1.4	Yes	O52681	Fe-hydrogenase gamma subunit	
